Product_ID,Product_Name,Category,Sub_Category,Brand,Color,Size,Material,Price,Cost,Season,Launch_Date,_internal_id,temp_field,notes,Unnamed: 0
P0186,TrendWear Black Blouse,TOPS,Blouse,TrendWear,Black,XS,Denim,48.22,19.41,Fall/Winter 2024,08/15/2024,186,,,185
P0211,StyleCo Purple Cardigan,Outerwear,Cardigan,StyleCo,Purple,M,Cotton,72.91,32.58,Spring/Summer 2024,2024-03-17,211,,,210
P0588,UrbanChic Black Hoodie,Activewear,Hoodie,UrbanChic,Black,M,n/a,58.33,20.57,Spring/Summer 2023,2023-03-04,588,,check this,587
P0268,StyleCo Blue Maxi Dress  ,Dresses,Maxi Dress,StyleCo,Blue,M,Denim,56.46,24.61,Spring/Summer 2024,13-Mar-2024,268,,ok,267
P0676,ModaVibe Green Tank Top,Tops,Tank Top,ModaVibe,Green,XXL,Wool,44.25,20.37,Spring/Summer 2024,2024-03-21,676,,ok,675
P0178,TrendWear Mustard Scarf,ACCESSORIES,Scarf,trendwear,Mustard,M,Blend,30.16,13.04,Spring/Summer 2024,03/11/2024,178,,,177
P0218,	UrbanChic Blue Shorts,BOTTOMS,Shorts,UrbanChic,Blue,L,Silk,47.92,23.58,Fall/Winter 2023,2023-09-30,218,,,217
P0678,UrbanChic Beige Pants,Bottoms,  Pants ,UrbanChic,Beige,XXL,Cotton,55.62,24.77,Spring/Summer 2023,11-Feb-2023,678,,ok,677
P0759,  ModaVibe Red Belt,Accessories,Belt,ModaVibe,Red,L,Cotton,32.48,13.39,Fall/Winter 2023,2023-09-05,759,,check this,758
P0604,ModaVibe Pink Cocktail Dress,Dresses,Cocktail Dress,modavibe,Pink,L,Denim,89.56,42.2,Spring/Summer 2024,2024-03-28,604,,ok,603
P0230,StyleCo Green Blouse,Tops,Blouse,StyleCo,Green,S,Polyester,47.73,21.69,Spring/Summer 2024,2024-03-30,230,,,229
P0625,StyleCo Yellow Pants,BOTTOMS,Pants,StyleCo,Yellow,L,Cotton,58.71,23.47,Fall/Winter 2023,2023-08-02,625,,ok,624
P0528,ClassicMode Blue Tank Top,Tops,  Tank Top ,ClassicMode,Blue,M,Silk,36.87,17.96,Spring/Summer 2023,2023-02-13,528,,check this,527
P0533,ModaVibe Black Sweater,Tops,Sweater,modavibe,Black,XS,Polyester,50.35,22.77,Fall/Winter 2024,10-Sep-2024,533,,pending,532
P0253,StyleCo Blue Skirt,Bottoms,Skirt,StyleCo,Blue,XL,Denim,46.69,19.97,Spring/Summer 2023,03/20/2023,253,,,252
P0228,ModaVibe White Sweater,TOPS,Sweater,modavibe,White,L,Polyester,35.31,12.79,Spring/Summer 2024,2024-02-16,228,,check this,227
P0768,UrbanChic Beige Shorts,Bottoms,Shorts,UrbanChic,Beige,S,Denim,49.77,19.66,Fall/Winter 2023,15-Aug-2023,768,,,767
P0163,ClassicMode Navy Midi Dress,Dresses,Midi Dress,ClassicMode,Navy,XXL,Silk,47.86,17.02,Spring/Summer 2023,2023-02-09,163,,pending,162
P0241,ModaVibe White Hat,Accessories,Hat,ModaVibe,White,XS,Wool,28.36,11.0,Fall/Winter 2024,2024-09-22,241,,,240
P0076,ClassicMode Neon Green Midi Dress,Dresses,Midi Dress,ClassicMode,NA,M,Polyester,92.66,38.63,Fall/Winter 2024,2024-09-23,76,,,75
P0671,ModaVibe Black Midi Dress,Dresses,Midi Dress,ModaVibe,Black,XL,Cotton,55.33,25.25,Fall/Winter 2024,17-Aug-2024,671,,ok,670
P0659,StyleCo Neon Pink Blouse,Tops,Blouse,StyleCo,Neon Pink,S,Denim,41.09,15.21,Fall/Winter 2023,2023-09-06,659,,ok,658
P0280,ModaVibe Blue Tank Top,Tops,Tank Top,ModaVibe,Blue,M,Denim,35.32,14.75,Spring/Summer 2024,2024-02-05,280,,,279
P0603,ModaVibe White Coat,Outerwear,Coat,ModaVibe,White,S,Silk,75.27,30.32,Spring/Summer 2024,2024-03-17,603,,check this,602
P0690,ClassicMode White Sweater,Tops,  Sweater ,classicmode,White,S,Wool,27.76,10.0,Spring/Summer 2023,2023-03-03,690,,,689
P0735,UrbanChic Black T-Shirt,TOPS,T-Shirt,UrbanChic,Black,L,Blend,39.71,14.98,Fall/Winter 2024,2024-08-05,735,,,734
P0222,ClassicMode Black Midi Dress  ,Dresses,Midi Dress,ClassicMode,Black,S,Silk,57.94,28.67,Fall/Winter 2023,2023-09-04,222,,pending,221
P0005,UrbanChic White Hoodie,Activewear,  Hoodie ,UrbanChic,White,S,Cotton,39.25,18.23,Spring/Summer 2024,2024-02-10,5,,pending,4
P0204,TrendWear Black Blazer,Outerwear,Blazer,TrendWear,Black,L,Denim,77.63,29.47,Fall/Winter 2023,2023-08-07,204,,,203
P0274,UrbanChic Brown T-Shirt,Tops,T-Shirt,UrbanChic,Brown,XS,Polyester,41.73,16.16,Fall/Winter 2024,2024/09/25,274,,ok,273
P0049,StyleCo Black Tank Top,Tops,Tank Top,StyleCo,Black,M,Denim,39.99,15.63,Spring/Summer 2023,2023-03-20,49,,pending,48
P0445,UrbanChic Mustard Maxi Dress,Dresses,Maxi Dress,UrbanChic,,XXL,Polyester,93.39,46.34,Spring/Summer 2023,2023-03-05,445,,,444
P0427,StyleCo Beige Cocktail Dress,Dresses,Cocktail Dress,StyleCo,Beige,M,Wool,97.28,47.32,Fall/Winter 2024,2024/08/13,427,,pending,426
P0304,TrendWear Blue T-Shirt,Tops,T-Shirt,TrendWear,Blue,S,Cotton,47.95,23.5,Fall/Winter 2024,2024-09-26,304,,ok,303
P0101,ModaVibe Blue Maxi Dress,Dresses,Maxi Dress,ModaVibe,Blue,M,Denim,58.05,23.86,Fall/Winter 2023,2023-08-06,101,,,100
P0701,StyleCo Blue Scarf,Accessories,Scarf,StyleCo,Blue,S,Denim,29.12,11.61,Fall/Winter 2023,25-Aug-2023,701,,pending,700
P0037,TrendWear Black Maxi Dress,DRESSES,Maxi Dress,TrendWear,Black,S,Silk,70.75,27.03,Fall/Winter 2023,2023-08-27,37,,,36
P0518,TrendWear Brown Skirt,Bottoms,Skirt,TrendWear,Brown,XL,Silk,57.13,28.46,Fall/Winter 2023,2023-08-03,518,,ok,517
P0056,TrendWear Navy Sports Bra,ACTIVEWEAR,  Sports Bra ,TrendWear,Navvy,S,Cotton,60.69,29.27,Fall/Winter 2023,2023-09-21,56,,pending,55
